"","X.1","X","name","address","type","city","state","zip","Zip.Plus","Contact.First.Name","Contact.Last.Name","contact","Phone","Business.Description","Primary.NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business.Type","County","Employee","Annual.Sales","URL","Year.Established","address_new","url","latitude","longitude"
"1",1,1,"Adventure Camp For Christ Inc","220 Woodberry Cir","Religoeus","Raeford","NC",28376,9178,"Mark","Gaver","Owner",9100001111,"Camps",721214,NA,NA,NA,NA,"Private","Hoke",2,306000,"acfc1.org",2016,"220 Woodberry Cir Raeford NC 28376","www.acfc1.org",35.030912315271,-79.111300454637
"2",2,2,"Adventure Treks","1826 Pinnacle Mountain Rd","Other","Zirconia","NC",28790,3707,"John","Dockendorf","President",8286980399,"Camps",721214,561510,611699,NA,NA,"Private","Henderson",10,2816000,"adventuretreks.com",1999,"1826 Pinnacle Mountain Rd Zirconia NC 28790","www.adventuretreks.com",35.241954118786,-82.444027907137
"3",3,3,"Adventure Treks","707 Brooklyn Ave # A","Other","Hendersonville","NC",28792,6467,"John","Dockengorf","Exec Director",8286980399,"Camps",721214,NA,NA,NA,NA,"Private","Henderson",41,11546000,"adventuretreks.com",1993,"707 Brooklyn Ave # A Hendersonville NC 28792","www.adventuretreks.com",35.300159943143,-82.441086767716
"4",4,4,"Ambassador Camp","702 Lakeshore Dr","Religoeus","Lake Waccamaw","NC",28450,NA,"Nathan","Kyles","Office Manager",9106463909,"Camps",721214,813319,NA,NA,NA,"Private","Columbus",35,2748000,"ambassadorcamp.org",1957,"702 Lakeshore Dr Lake Waccamaw NC 28450","www.ambassadorcamp.org",34.313999193664,-78.512285122898
"5",5,5,"Anchorage Christian Camp","412 Lakeshore Dr","Religoeus","Lake Waccamaw","NC",28450,NA,"David","Ulrich","Exec Director",9106464111,"Camps",721214,519290,713940,611110,813311,"Private","Columbus",5,393000,"theanchoragecamp.org",1984,"412 Lakeshore Dr Lake Waccamaw NC 28450","www.theanchoragecamp.org",34.315690831236,-78.518103199353
"6",6,6,"Asheville Sun Soo Martial Arts","800 Fairview Rd # D2","Sport","Asheville","NC",28803,1173,"Tony","Morris","Owner",8285054309,"Camps",721214,611620,611620,813410,NA,"Private","Buncombe",26,9528000,"martialartsasheville.com",2009,"800 Fairview Rd # D2 Asheville NC 28803","www.martialartsasheville.com",35.565259099634,-82.510215597983
"7",7,7,"Ashton Farm Summer Day Camp","5645 US Highway 117 S","Other","Burgaw","NC",28425,3031,"Sally","Martin","Owner",9102592412,"Camps",721214,NA,NA,NA,NA,"Private","Pender",4,324000,"ashtonfarmcamp.com",1986,"5645 US Highway 117 S Burgaw NC 28425","www.ashtonfarmcamp.com",34.475476010076,-77.887791448387
"8",8,10,"Blessed Solutions","1205 Murchison Rd","Other","Fayetteville","NC",28301,4251,"Rose","Townsend","Manager",9104232220,"Camps",721214,813319,NA,NA,NA,"Private","Cumberland",3,459000,"blessed-solutions.org",2008,"1205 Murchison Rd Fayetteville NC 28301","www.blessed-solutions.org",35.071577683355,-78.894663939426
"9",9,11,"Blue Star Camps","179 Blue Star Way","Other","Hendersonville","NC",28739,7518,"Roger","Popkin","President",8286923591,"Camps",721214,459110,624110,NA,NA,"Private","Henderson",350,98557000,"bluestarcamps.com",1948,"179 Blue Star Way Hendersonville NC 28739","www.bluestarcamps.com",35.245956244837,-82.536876712036
"10",10,12,"Bold Earth","1899 Berea Church Rd","Other","Hendersonville","NC",28739,2429,"Josh","Goldbach","Owner",3035260806,"Camps",721214,721214,NA,NA,NA,"Private","Henderson",50,14080000,"blog.boldearth.com",2018,"1899 Berea Church Rd Hendersonville NC 28739","www.blog.boldearth.com",35.254831625488,-82.503205121565
"11",11,13,"Broadreach Inc","1111 Haynes St # 107","Sport","Raleigh","NC",27604,1454,"Carlton","Goldthwaite","Owner",9198331907,"Camps",721214,813319,813410,NA,NA,"Private","Wake",99,12478000,"gobroadreach.com",1993,"1111 Haynes St # 107 Raleigh NC 27604","www.gobroadreach.com",35.794448874847,-78.637375871707
"12",12,14,"Buffalo Cove Outdoor Edu Ctr","1899 Cool Springs Pl","Other","Lenoir","NC",28645,9514,"Nathan","Roark","Exec Director",8287587077,"Camps",721214,NA,NA,NA,NA,"Private","Caldwell",11,993000,"buffalocove.com",2000,"1899 Cool Springs Pl Lenoir NC 28645","www.buffalocove.com",36.094118977709,-81.513986297729
"13",13,15,"Cale Camp & Conference Ctr","377 Camp Cale Rd","Religoeus","Hertford","NC",27944,8079,"Matt","Thomas","Director",2522643414,"Camps",721214,519290,NA,NA,NA,"Private","Perquimans",5,437000,"campcale.com",1961,"377 Camp Cale Rd Hertford NC 27944","www.campcale.com",36.148674581172,-76.369016691669
"14",14,16,"Camp Andrew Inc","225 Woodville Rd","Religoeus","Mt Airy","NC",27030,7436,"Roy E","Nunn","Manager",3360001111,"Camps",721214,NA,NA,NA,NA,"Private","Surry",5,312000,"campandrew.org",2017,"225 Woodville Rd Mt Airy NC 27030","www.campandrew.org",36.503801596595,-80.477094786197
"15",15,17,"Camp Broadstone","1431 Broadstone Rd","Other","Banner Elk","NC",28604,6655,"Judith","Bevan","Exec Director",8289634640,"Camps",721214,NA,NA,NA,NA,"Private","Watauga",3,282000,NA,1997,"1431 Broadstone Rd Banner Elk NC 28604","",36.194567271508,-81.760125161305
"16",16,18,"Camp Carolina","1 Lambs Creek Rd","Boys","Brevard","NC",28712,8518,"Alfred","Thompson","Director",8288842414,"Camps",721214,423110,713940,623990,NA,"Private","Transylvania",120,19295000,"campcarolina.com",1924,"1 Lambs Creek Rd Brevard NC 28712","www.campcarolina.com",35.263788249972,-82.715563382838
"17",17,19,"Camp Caroline","3398 Janiero Rd","Religoeus","Arapahoe","NC",28510,9528,NA,NA,NA,2522490848,"Camps",721214,713940,NA,NA,NA,"Private","Pamlico",7,556000,"campcaroline.org",1995,"3398 Janiero Rd Arapahoe NC 28510","www.campcaroline.org",34.994336641995,-76.748528955796
"18",18,20,"Camp Cedar Cliff","5 Porters Cove Rd","Other","Asheville","NC",28805,2834,"Trey","Miles","Manager",8284503331,"Camps",721214,813319,NA,NA,NA,"Private","Buncombe",6,2199000,"campcedarcliff.org",1991,"5 Porters Cove Rd Asheville NC 28805","www.campcedarcliff.org",35.578466937084,-82.463443324142
"19",19,21,"CAMP Cheerio Adventure Camp","1430 Camp Cheerio Rd","Other","Glade Valley","NC",28627,9354,"Michaux","Crocker","Director",3363632604,"Camps",721214,624110,NA,NA,NA,"Private","Alleghany",100,6919000,"campcheerio.org",1960,"1430 Camp Cheerio Rd Glade Valley NC 28627","www.campcheerio.org",36.40104910784,-81.016303909857
